index,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
383,226.8,73.6136,16.398,,,,15/9-F-11 B
384,226.9,73.6136,15.697,,,,15/9-F-11 B
385,227.0,73.6136,14.7,,,,15/9-F-11 B
386,227.1,73.6136,14.601,,,,15/9-F-11 B
387,227.2,73.6136,14.901,,,,15/9-F-11 B
388,227.3,73.6136,15.099,,,,15/9-F-11 B
389,227.4,73.6136,14.801,,,,15/9-F-11 B
390,227.5,73.6136,15.198,,,,15/9-F-11 B
391,227.6,73.6136,14.396,,,,15/9-F-11 B
392,227.7,73.6136,13.096,,,,15/9-F-11 B
393,227.8,73.6136,11.799,,,,15/9-F-11 B
394,227.9,73.6136,11.299,,,,15/9-F-11 B
395,228.0,73.6136,10.998,,,,15/9-F-11 B
396,228.1,73.6136,10.199,,,,15/9-F-11 B
397,228.2,73.6136,9.999,,,,15/9-F-11 B
398,228.3,73.6136,9.499,,,,15/9-F-11 B
399,228.4,73.6136,9.302,,,,15/9-F-11 B
400,228.5,73.6136,9.999,,,,15/9-F-11 B
401,228.6,73.6136,9.6,,,,15/9-F-11 B
402,228.7,73.6136,9.6,,,,15/9-F-11 B
403,228.8,73.6136,9.5,,,,15/9-F-11 B
404,228.9,73.6136,9.401,,,,15/9-F-11 B
405,229.0,73.6136,9.901,,,,15/9-F-11 B
406,229.1,73.6136,10.101,,,,15/9-F-11 B
407,229.2,73.6136,10.301,,,,15/9-F-11 B
408,229.3,73.6136,10.802,,,,15/9-F-11 B
409,229.4,73.6136,11.602,,,,15/9-F-11 B
410,229.5,73.6136,12.502,,,,15/9-F-11 B
411,229.6,73.6136,13.401,,,,15/9-F-11 B
412,229.7,73.6136,13.801,,,,15/9-F-11 B
413,229.8,73.6136,14.102,,,,15/9-F-11 B
414,229.9,73.6136,14.904,,,,15/9-F-11 B
415,230.0,73.6136,16.299,,,,15/9-F-11 B
416,230.1,73.6136,16.101,,,,15/9-F-11 B
417,230.2,73.6136,16.601,,,,15/9-F-11 B
418,230.3,73.6136,17.102,,,,15/9-F-11 B
419,230.4,73.6136,17.701,,,,15/9-F-11 B
420,230.5,73.6136,18.004,,,,15/9-F-11 B
421,230.6,73.6136,19.402,,,,15/9-F-11 B
422,230.7,73.6136,20.1,,,,15/9-F-11 B
423,230.8,73.6136,20.102,,,,15/9-F-11 B
424,230.9,73.6136,20.8,,,,15/9-F-11 B
425,231.0,73.6136,20.696,,,,15/9-F-11 B
426,231.1,73.6136,19.398,,,,15/9-F-11 B
427,231.2,73.6136,18.494,,,,15/9-F-11 B
428,231.3,73.6136,16.396,,,,15/9-F-11 B
429,231.4,73.6136,14.798,,,,15/9-F-11 B
430,231.5,73.6136,14.103,,,,15/9-F-11 B
431,231.6,73.6136,15.299,,,,15/9-F-11 B
432,231.7,73.6136,15.0,,,,15/9-F-11 B
433,231.8,73.6136,15.0,,,,15/9-F-11 B
434,231.9,73.6136,15.1,,,,15/9-F-11 B
435,232.0,73.6136,15.098,,,,15/9-F-11 B
436,232.1,73.6136,14.199,,,,15/9-F-11 B
437,232.2,73.6136,13.7,,,,15/9-F-11 B
438,232.3,73.6136,13.606,,,,15/9-F-11 B
439,232.4,73.6136,15.605,,,,15/9-F-11 B
440,232.5,73.6136,17.498,,,,15/9-F-11 B
441,232.6,73.6136,16.895,,,,15/9-F-11 B
442,232.7,73.6136,15.198,,,,15/9-F-11 B
443,232.8,73.6136,14.301,,,,15/9-F-11 B
444,232.9,73.6136,14.704,,,,15/9-F-11 B
445,233.0,73.6136,16.002,,,,15/9-F-11 B
446,233.1,73.6136,16.805,,,,15/9-F-11 B
447,233.2,73.6136,18.605,,,,15/9-F-11 B
448,233.3,73.6136,20.4,,,,15/9-F-11 B
449,233.4,73.6136,20.5,,,,15/9-F-11 B
450,233.5,73.6136,20.498,,,,15/9-F-11 B
451,233.6,73.6136,19.799,,,,15/9-F-11 B
452,233.7,73.6136,19.499,,,,15/9-F-11 B
453,233.8,73.6136,19.099,,,,15/9-F-11 B
454,233.9,73.6136,18.799,,,,15/9-F-11 B
455,234.0,73.6136,18.399,,,,15/9-F-11 B
456,234.1,73.6136,17.999,,,,15/9-F-11 B
457,234.2,73.6136,17.699,,,,15/9-F-11 B
458,234.3,73.6136,17.299,,,,15/9-F-11 B
459,234.4,73.6136,16.999,,,,15/9-F-11 B
460,234.5,73.6136,16.599,,,,15/9-F-11 B
461,234.6,73.6136,16.199,,,,15/9-F-11 B
462,234.7,73.6136,15.903,,,,15/9-F-11 B
463,234.8,73.6136,16.907,,,,15/9-F-11 B
464,234.9,73.6136,19.404,,,,15/9-F-11 B
465,235.0,73.6136,20.903,,,,15/9-F-11 B
466,235.1,73.6136,21.9,,,,15/9-F-11 B
467,235.2,73.6136,21.897,,,,15/9-F-11 B
468,235.3,73.6136,20.906,,,,15/9-F-11 B
469,235.4,73.6136,23.102,,,,15/9-F-11 B
470,235.5,73.6136,23.696,,,,15/9-F-11 B
471,235.6,73.6136,22.099,,,,15/9-F-11 B
472,235.7,73.6136,21.599,,,,15/9-F-11 B
473,235.8,73.6136,21.299,,,,15/9-F-11 B
474,235.9,73.6136,21.004,,,,15/9-F-11 B
475,236.0,73.6136,22.499,,,,15/9-F-11 B
476,236.1,73.6136,22.199,,,,15/9-F-11 B
477,236.2,73.6136,22.002,,,,15/9-F-11 B
478,236.3,73.6136,22.596,,,,15/9-F-11 B
479,236.4,73.6136,21.002,,,,15/9-F-11 B
480,236.5,73.6136,21.903,,,,15/9-F-11 B
481,236.6,73.6136,23.004,,,,15/9-F-11 B
482,236.7,73.6136,24.405,,,,15/9-F-11 B
483,236.8,73.6136,26.303,,,,15/9-F-11 B
484,236.9,73.6136,27.398,,,,15/9-F-11 B
485,237.0,73.6136,26.805,,,,15/9-F-11 B
486,237.1,73.6136,28.507,,,,15/9-F-11 B
487,237.2,73.6136,31.006,,,,15/9-F-11 B
488,237.3,73.6136,33.004,,,,15/9-F-11 B
489,237.4,73.6136,34.404,,,,15/9-F-11 B
490,237.5,73.6136,36.004,,,,15/9-F-11 B
491,237.6,73.6136,37.499,,,,15/9-F-11 B
492,237.7,73.6136,36.999,,,,15/9-F-11 B
493,237.8,73.6136,36.696,,,,15/9-F-11 B
494,237.9,73.6136,35.299,,,,15/9-F-11 B
495,238.0,73.6136,34.796,,,,15/9-F-11 B
496,238.1,73.6136,33.499,,,,15/9-F-11 B
